Statistical profiling result from info.log, (4276 ticks, 4 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    2.1%        LazyCompile: ~parseCertString node:internal/tls:47:25
      1  100.0%          LazyCompile: ~translatePeerCertificate node:_tls_common:121:34
      1  100.0%            LazyCompile: ~TLSSocket.getPeerCertificate node:_tls_wrap:992:50
      1    2.1%        LazyCompile: ~merge /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/merge-descriptors/index.js:34:15
      1  100.0%          LazyCompile: ~createApplication /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/express.js:37:27
      1  100.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/dist/services/server.js:1:1
      1    2.1%        LazyCompile: ~match /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/layer.js:110:39
      1  100.0%          LazyCompile: ~matchLayer /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:572:20
      1  100.0%            LazyCompile: ~next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      1    2.1%        LazyCompile: ~isIPv6 node:internal/net:35:16
      1  100.0%          LazyCompile: ~isIP node:internal/net:39:14
      1  100.0%            LazyCompile: ~parseSslOptions /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:211:25
      1    2.1%        LazyCompile: ~hash /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:596:14
      1  100.0%          LazyCompile: ~generate /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:363:22
      1  100.0%            LazyCompile: ~session /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:179:26
      1    2.1%        LazyCompile: ~expressInit /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/middleware/init.js:29:30
      1  100.0%          LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      1  100.0%            LazyCompile: ~query /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/middleware/query.js:39:24
      1    2.1%        LazyCompile: ~exports.sign /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/cookie-signature/index.js:16:24
      1  100.0%          LazyCompile: ~exports.unsign /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/cookie-signature/index.js:36:26
      1  100.0%            LazyCompile: ~unsigncookie /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express-session/index.js:675:22
      1    2.1%        LazyCompile: ~createTopology /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/mongoose/node_modules/mongodb/lib/operations/connect.js:53:24
      1  100.0%          LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/mongoose/node_modules/mongodb/lib/operations/connect.js:41:62
      1  100.0%            LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/mongoose/node_modules/mongodb/lib/connection_string.js:72:39
      1    2.1%        LazyCompile: ~compileFunction node:vm:311:25
      1  100.0%          LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1025:18
      1  100.0%            LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1063:37
      1    2.1%        LazyCompile: ~Module.load node:internal/modules/cjs/loader:977:33
      1  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
